Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012,crime_local_rank_2006,crime_local_rank_2009,crime_local_rank_2012
S01003714,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,1416,1160,2378,288,212,434
S01003077,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,1929,2281,2384,371,387,435
S01003343,Barlanark,Baillieston,Glasgow Baillieston,495,854,2388,107,155,436
S01003244,Baillieston East,Baillieston,Glasgow Baillieston,2517,2984,2396,443,467,437
S01003370,Dennistoun,East Centre,Glasgow Springburn,729,2593,2400,170,420,438
S01003400,Carntyne,East Centre,Glasgow Springburn,2477,2756,2402,438,440,439
S01003163,Maxwell Park,Pollokshields,Glasgow Govan,5011,4306,2433,669,613,440
S01003108,Cathcart,Langside,Glasgow Cathcart,3173,4340,2449,524,614,441
S01003664,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,2817,1951,2460,483,347,442
S01003538,Blackhill and Barmulloch East,North East,Glasgow Springburn,1625,3765,2461,321,568,443
S01003310,Cardonald North,Craigton,Glasgow Pollok,3411,3171,2475,543,490,444
S01003345,Hillington,Craigton,Glasgow Pollok,4302,3234,2479,626,503,445
S01003679,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,2192,2690,2487,408,431,446
S01003030,Glenwood South,Linn,Glasgow Cathcart,3978,3478,2512,589,538,447
S01003182,Pollok North and East,Greater Pollok,Glasgow Pollok,610,1543,2513,140,295,448
S01003633,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,1543,1418,2516,310,268,449
S01003094,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,2872,2699,2519,488,432,450
S01003128,Mount Florida,Langside,Glasgow Cathcart,3054,4466,2520,510,619,451
S01003681,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,4749,5030,2521,654,666,452
S01003106,Newlands,Newlands/Auldburn,Glasgow Cathcart,3667,2809,2523,567,450,453
S01003547,North Kelvin,Canal,Glasgow Maryhill,3418,3351,2527,545,522,454
S01003657,Milton East,Canal,Glasgow Maryhill,1300,2119,2531,268,368,455
S01003427,Carntyne,East Centre,Glasgow Springburn,1115,1784,2538,235,324,456
S01003089,Newlands,Newlands/Auldburn,Glasgow Cathcart,2337,3545,2575,430,545,457
S01003678,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,2063,4013,2588,389,588,458
S01003583,Blackhill and Barmulloch East,North East,Glasgow Springburn,2313,2372,2616,426,396,459
S01003423,Anderston,Anderston/City,Glasgow Kelvin,3187,3238,2619,525,504,460
S01003524,Broomhill,Partick West,Glasgow Kelvin,3430,4431,2624,548,618,461
S01003658,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,3741,3949,2629,574,582,462
S01003458,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,3562,2062,2638,558,363,463
S01003453,Woodlands,Anderston/City,Glasgow Kelvin,1329,1435,2642,275,272,464
S01003556,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,1423,4779,2660,289,651,465
S01003231,Baillieston West,Baillieston,Glasgow Baillieston,1813,3363,2668,351,524,466
S01003120,Pollok South and West,Greater Pollok,Glasgow Pollok,1731,3965,2671,336,583,467
S01003291,Penilee,Craigton,Glasgow Pollok,3033,2024,2677,505,360,468
S01003193,Baillieston East,Baillieston,Glasgow Baillieston,3768,3114,2679,576,485,469
S01003051,Darnley North,Greater Pollok,Glasgow Pollok,1415,2435,2680,287,405,470
S01003574,Ruchill,Canal,Glasgow Maryhill,4007,4100,2712,592,594,471
S01003306,Craigton,Govan,Glasgow Pollok,3347,2871,2730,536,458,472
S01003598,Barmulloch,North East,Glasgow Springburn,2728,2612,2750,468,422,473
S01003608,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,2498,4907,2780,440,658,474
