Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,geographic_access_deprivation_rank_2004,geographic_access_deprivation_rank_2006,geographic_access_deprivation_rank_2009,geographic_access_deprivation_rank_2012,geographic_access_local_rank_2004,geographic_access_local_rank_2006,geographic_access_local_rank_2009,geographic_access_local_rank_2012
S01003300,Baillieston East,Baillieston,Glasgow Baillieston,6126,4667,4476,4389,584,294,261,292
S01003244,Baillieston East,Baillieston,Glasgow Baillieston,5170,4546,4365,4394,420,274,242,293
S01003505,Sighthill,Springburn,Glasgow Springburn,2520,3854,5035,4399,98,183,358,294
S01003644,Springburn,Springburn,Glasgow Springburn,3019,3330,3991,4404,145,126,175,295
S01003117,Battlefield,Langside,Glasgow Cathcart,5670,4770,4284,4406,496,310,232,296
S01003373,City Centre West,Anderston/City,Glasgow Kelvin,4381,6047,5020,4409,302,544,355,297
S01003177,Strathbungo,Pollokshields,Glasgow Govan,5948,5948,5703,4411,550,519,475,298
S01003581,Ruchill,Canal,Glasgow Maryhill,5156,5571,5306,4427,417,443,402,299
S01003551,Petershill,Springburn,Glasgow Springburn,4772,4153,4574,4435,361,218,279,300
S01003557,Barmulloch,North East,Glasgow Springburn,5661,4149,4781,4438,494,217,310,301
S01003246,Shettleston North,Shettleston,Glasgow Shettleston,3059,4115,4095,4439,151,214,197,302
S01003291,Penilee,Craigton,Glasgow Pollok,5077,4749,5825,4447,409,304,498,303
S01003553,Keppochhill,Canal,Glasgow Maryhill,4082,4404,4584,4456,269,258,280,304
S01003538,Blackhill and Barmulloch East,North East,Glasgow Springburn,4625,4394,5133,4467,334,257,379,305
S01003679,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,4525,2076,5048,4472,319,36,360,306
S01003713,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,5034,5208,5430,4480,399,378,428,307
S01003540,Keppochhill,Canal,Glasgow Maryhill,3754,4521,4502,4481,224,273,264,308
S01003684,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,4491,4187,4272,4486,315,221,229,309
S01003148,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,3583,4429,4159,4499,203,264,212,310
S01003066,Muirend and Old Cathcart,Linn,Glasgow Cathcart,3131,4906,4691,4502,160,329,293,311
S01003325,Hillington,Craigton,Glasgow Pollok,6237,5970,5972,4507,609,523,533,312
S01003218,Cardonald South and East,Craigton,Glasgow Pollok,3543,4699,4127,4508,198,299,204,313
S01003573,Springburn,Springburn,Glasgow Springburn,5421,5405,4742,4511,458,419,305,314
S01003063,Castlemilk,Linn,Glasgow Cathcart,3797,5097,4905,4512,233,363,334,315
S01003347,Carntyne West and Haghill,Calton,Glasgow Shettleston,5148,5335,4850,4514,416,405,325,316
S01003578,Barmulloch,North East,Glasgow Springburn,5923,5107,5264,4519,547,366,396,317
S01003539,Broomhill,Partick West,Glasgow Kelvin,6063,5849,4075,4523,570,505,190,318
S01003404,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,4761,4054,3755,4525,359,206,156,319
S01003252,Baillieston West,Baillieston,Glasgow Baillieston,5564,3123,3974,4527,476,108,172,320
S01003617,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,5596,4388,4932,4537,482,255,340,321
S01003612,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,5756,4876,4925,4547,518,324,339,322
S01003402,Central Easterhouse,North East,Glasgow Baillieston,3846,4925,4417,4550,243,333,251,323
S01003104,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,3302,4817,4373,4577,175,319,243,324
S01003369,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,4498,4269,4109,4578,317,234,201,325
S01003087,Kingspark South,Linn,Glasgow Cathcart,4164,5923,6096,4579,279,517,565,326
S01003554,North Kelvin,Canal,Glasgow Maryhill,5279,5823,5102,4581,438,498,370,327
S01003297,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,4425,5388,5800,4588,308,415,495,328
S01003563,Barmulloch,North East,Glasgow Springburn,5204,5073,5293,4597,424,358,400,329
S01003459,Craigend and Ruchazie,North East,Glasgow Springburn,3879,4628,4203,4598,246,287,218,330
S01003603,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,5201,4970,5481,4604,422,341,435,331
S01003407,Carntyne,East Centre,Glasgow Springburn,6077,5342,5094,4609,573,407,368,332
S01003133,Langside,Langside,Glasgow Govan,5693,4580,4338,4616,501,282,238,333
S01003096,Kingspark South,Linn,Glasgow Cathcart,4587,4499,4377,4627,329,269,244,334
S01003363,Greenfield,Baillieston,Glasgow Baillieston,3640,4701,4559,4629,212,300,277,335
S01003102,Kingspark North,Langside,Glasgow Rutherglen,4177,5257,4653,4641,282,385,286,336
S01003544,North Kelvin,Canal,Glasgow Maryhill,5826,6046,5177,4645,528,543,384,337
S01003555,North Kelvin,Canal,Glasgow Maryhill,5691,5770,5403,4646,500,481,426,338
S01003207,Pollokshields East,Pollokshields,Glasgow Govan,5861,6154,5930,4656,536,570,523,339
S01003639,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,5631,4490,4528,4657,491,267,270,340
S01003397,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,2373,4848,4945,4662,84,323,343,341
