Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,overall_local_rank_2004,overall_local_rank_2006,overall_local_rank_2009,overall_local_rank_2012
S01003131,Battlefield,Langside,Glasgow Cathcart,3555,4078,4658,4037,576,576,607,568
S01003132,Pollokshaws,Newlands/Auldburn,Glasgow Govan,226,317,807,834,172,165,274,268
S01003133,Langside,Langside,Glasgow Govan,5098,5100,4942,5099,649,636,623,629
S01003134,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,482,776,1141,1010,272,294,332,295
S01003135,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,804,1475,1610,1582,350,385,386,377
S01003136,Mount Florida,Langside,Glasgow Cathcart,2615,2572,3266,3519,518,485,518,533
S01003137,Shawlands East,Langside,Glasgow Govan,3265,3733,3814,3427,557,558,559,524
S01003138,Pollokshaws,Newlands/Auldburn,Glasgow Govan,440,833,1012,1173,263,303,309,322
S01003139,Shawlands West,Pollokshields,Glasgow Govan,4600,4804,5012,5077,622,617,629,628
S01003140,Crookston South,Greater Pollok,Glasgow Pollok,109,225,202,88,91,124,105,54
S01003141,Langside,Langside,Glasgow Govan,5155,5724,5897,5305,652,671,676,642
S01003142,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,303,424,446,503,214,208,195,198
S01003143,Mount Florida,Langside,Glasgow Cathcart,1860,2401,2243,2586,459,470,446,471
S01003144,Crookston North,Greater Pollok,Glasgow Pollok,707,1068,944,1157,336,348,295,318
S01003145,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,922,1363,1602,1528,367,374,385,368
S01003146,Shawlands East,Langside,Glasgow Govan,2917,3279,3883,3495,541,528,564,529
S01003147,Crookston North,Greater Pollok,Glasgow Pollok,1182,1736,1805,1580,393,411,410,376
S01003148,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,1219,1488,1461,1942,398,386,366,411
S01003149,Shawlands East,Langside,Glasgow Govan,2510,3174,3212,3328,512,522,517,521
S01003150,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,180,244,336,459,146,132,161,191
S01003151,Shettleston South,Shettleston,Glasgow Baillieston,1990,1809,2724,2231,473,420,481,435
S01003152,Battlefield,Southside Central,Glasgow Cathcart,1360,1569,1451,1415,411,395,364,356
S01003153,Maxwell Park,Pollokshields,Glasgow Govan,4676,5286,5326,5827,629,648,648,670
S01003154,Shawlands East,Langside,Glasgow Govan,2016,2515,2129,2451,477,478,437,461
S01003155,Pollok South and West,Greater Pollok,Glasgow Pollok,5670,5568,5712,5630,677,666,673,661
S01003156,Battlefield,Langside,Glasgow Cathcart,2523,2349,2500,2774,513,464,466,483
S01003157,Shawlands West,Pollokshields,Glasgow Govan,1666,1707,1850,2301,443,408,415,450
S01003158,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,13,40,25,346,13,27,17,157
S01003159,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,57,101,124,761,51,62,74,254
S01003160,Crookston North,Greater Pollok,Glasgow Pollok,323,315,485,290,225,164,203,141
S01003161,Crookston North,Greater Pollok,Glasgow Pollok,1009,1621,1520,1362,377,401,374,348
S01003162,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,310,379,498,806,218,191,207,262
S01003163,Maxwell Park,Pollokshields,Glasgow Govan,5348,6028,5407,5682,662,678,653,665
